vid,vtitle,desc,pid,ptitle
YPL8uNy1nhU,Project management risks -I,"Satish R Paryani , Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iyMdLzaMXfzgXJQPGCWA0XT,Project Management
HZ5-bMZzr2o,Project management risks -II,"Satish R Paryani , Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iyMdLzaMXfzgXJQPGCWA0XT,Project Management
SyyovtqbBs8,Project management risks -III,"Satish R Paryani , Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iyMdLzaMXfzgXJQPGCWA0XT,Project Management
Go_vnL7wWek,Project planning process -I,"Satish R Paryani , Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iyMdLzaMXfzgXJQPGCWA0XT,Project Management
eSHh-grES5c,Project planning process -II,"Satish R Paryani , Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iyMdLzaMXfzgXJQPGCWA0XT,Project Management
_swZFZh8Sqs,Introduction to MATLAB-Part - I,"Mr. S.A.Utage 
Assistant Professor
Electronics Engg. Department
Walchand Institute of Technology Solapur
email id: sanjayautage@gmail.com",PLM-jfaoaU5iw4YRqqVpxScMEAUGKheLZQ,Software Simulation Tools
i8IMtupZA5A,Introduction to MATLAB-Part II,"Mr. S.A.Utage 
Assistant Professor
Electronics Engg. Department
Walchand Institute of Technology Solapur
email id: sanjayautage@gmail.com",PLM-jfaoaU5iw4YRqqVpxScMEAUGKheLZQ,Software Simulation Tools
BScvOx69T8I,Introduction to MATLAB-Part - III,"Mr. S.A.Utage 
Assistant Professor
Electronics Engg. Department
Walchand Institute of Technology Solapur
email id: sanjayautage@gmail.com",PLM-jfaoaU5iw4YRqqVpxScMEAUGKheLZQ,Software Simulation Tools
3uwPykJWu5E,Introduction to MATLAB-Part IV,"Mr. S.A.Utage 
Assistant Professor
Electronics Engg. Department
Walchand Institute of Technology Solapur
email id: sanjayautage@gmail.com",PLM-jfaoaU5iw4YRqqVpxScMEAUGKheLZQ,Software Simulation Tools
8HMHswasGKE,Introduction to MATLAB-Part  V,"Mr. S.A.Utage 
Assistant Professor
Electronics Engg. Department
Walchand Institute of Technology Solapur
email id: sanjayautage@gmail.com",PLM-jfaoaU5iw4YRqqVpxScMEAUGKheLZQ,Software Simulation Tools
6ryXOv9Mnqw,Introduction to Measurement Systems,"Miss Milka J. Jagale, Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iykMdtIT3m33fftgJiS1L3d,Instrumentation & Control
s5hfmgXb3KM,Generalised Masurement Systems,"Miss Milka J. Jagale, Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iykMdtIT3m33fftgJiS1L3d,Instrumentation & Control
bHxIpi0VDIc,Static Charactersitics of Instruments - I,"Miss Milka J. Jagale, Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iykMdtIT3m33fftgJiS1L3d,Instrumentation & Control
y2j9bvHVuL8,Static Charactersitics of Instruments - II,"Miss Milka J. Jagale, Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iykMdtIT3m33fftgJiS1L3d,Instrumentation & Control
7U_2S_2FfDA,Static Charactersitics of Instruments - III,"Miss Milka J. Jagale, Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iykMdtIT3m33fftgJiS1L3d,Instrumentation & Control
bLhGscc-_zI,Introduction to Industrial Design,"Mr. S. S. Bansode,
Assistant Professor, 
Mechanical Engineering Department,
Walchand Institute of Technology,Solapur.",PLM-jfaoaU5izVlD5VToKGA-QiikNvib6e,Industrial Product Design
Vrp_AXHPt-A,Elements of Product Design,"Mr. S. S. Bansode,
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izVlD5VToKGA-QiikNvib6e,Industrial Product Design
2wVHSONc93k,Aesthetic in Product Design,"Mr. S. S. Bansode,
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izVlD5VToKGA-QiikNvib6e,Industrial Product Design
u3OQpdmBSGY,Design Situations and Design Requirements,"Mr. S. S. Bansode,
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izVlD5VToKGA-QiikNvib6e,Industrial Product Design
ObMQ8X2EXJs,Product Design,"Mr. S. S. Bansode,
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izVlD5VToKGA-QiikNvib6e,Industrial Product Design
oCd_LtuPg-U,Analysis of Superelevation on Railway Track,"Mr. Ashok Kumar.N.Rajanavar
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5iy6UmcK17J6UKC_IwTzJO8W,Transportation Engineering-II
UsX46PyZJWU,Railway Cant Deficiency and Cant excess,"Mr. Ashok Kumar.N.Rajanavar
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5iy6UmcK17J6UKC_IwTzJO8W,Transportation Engineering-II
MacM5ZSOaz4,Negative Superelevation or Negative Cant on Railway Track,"Mr. Ashok Kumar.N.Rajanavar
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5iy6UmcK17J6UKC_IwTzJO8W,Transportation Engineering-II
oxeZilQe7vg,Types of Speeds on Railway Track,"Mr. Ashok Kumar.N.Rajanavar
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5iy6UmcK17J6UKC_IwTzJO8W,Transportation Engineering-II
vl2AR6n1hfg,Numerical Example on Speeds on Railway Track,"Mr. Ashok Kumar.N.Rajanavar
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5iy6UmcK17J6UKC_IwTzJO8W,Transportation Engineering-II
_lXbNtHP5kQ,Active antenna,,PLM-jfaoaU5ixuw3EGySmDcu0VXOgstRHf,Antenna and Wave Propagation
Let6g3BlNXo,Spiral Antenna,,PLM-jfaoaU5ixuw3EGySmDcu0VXOgstRHf,Antenna and Wave Propagation
2aK-rRjPNv4,Types of Antenna,,PLM-jfaoaU5ixuw3EGySmDcu0VXOgstRHf,Antenna and Wave Propagation
M0wKkfGkV8E,Log Periodic Antenna,,PLM-jfaoaU5ixuw3EGySmDcu0VXOgstRHf,Antenna and Wave Propagation
yjPQtT3A-u4,Smart Antenna,,PLM-jfaoaU5ixuw3EGySmDcu0VXOgstRHf,Antenna and Wave Propagation
L0bOsld0vR8,Introduction to Managerial Economics,"Mr.Kale N.V.
Assistant Professor,
Electronics and Telecommunication Engineering ,
Walchand Institute of Technology Solapur",PLM-jfaoaU5ixg2Gecfa2NjXTY6H7j62T0,Managerial Economics
1WjGpGkv1fs,Microeconomics and Macroeconomics,"Mr.Kale N.V.
Assistant Professor,
Electronics and Telecommunication Engineering,
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixg2Gecfa2NjXTY6H7j62T0,Managerial Economics
1bKAf7_8qFU,Demand and Supply,"Mr.Kale N.V.
Assistant Professor,
Electronics and Telecommunication Engineering ,
Walchand Institute of Technology Solapur",PLM-jfaoaU5ixg2Gecfa2NjXTY6H7j62T0,Managerial Economics
Kudn5WtJXWs,Demand and Market Analysis,"Mr.Kale N.V.
Assistant Professor,
Electronics and Telecommunication Engineering,
Walchand Institute of Technology,Solapur.",PLM-jfaoaU5ixg2Gecfa2NjXTY6H7j62T0,Managerial Economics
DRQnq5OYhzQ,Market Equilibrium,"Mr.Kale N.V.
Assistant Professor,
Electronics and Telecommunication Engineering,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5ixg2Gecfa2NjXTY6H7j62T0,Managerial Economics
X9zgPXO6Gtk,Circuits using intensifiers & accumulators,"Dr. S. B. Tuljapure
Associate Professor , 
Mechanical Engineering Department, 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixqaqUdx6swDClLgKYZ67WV,Industrial Hydraulics & Pneumatics
PrHho39U55k,Clamping circuit,"Dr. S. B. Tuljapure
Associate Professor , 
Mechanical Engineering Department, 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixqaqUdx6swDClLgKYZ67WV,Industrial Hydraulics & Pneumatics
qhO49zwMH6w,Introduction to Python,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixS_LvgGcGilDSc75k6l0nf,Advanced Programming Concepts
E3lPCBeC2EY,"Variables, Data-types and Numbers in python","Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixS_LvgGcGilDSc75k6l0nf,Advanced Programming Concepts
d3P1fGHAwEQ,Operators in Python,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixS_LvgGcGilDSc75k6l0nf,Advanced Programming Concepts
jqi90CUImnI,Python Program,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixS_LvgGcGilDSc75k6l0nf,Advanced Programming Concepts
uOuf2SHf1Q0,Python Programs: Decision making statements,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixS_LvgGcGilDSc75k6l0nf,Advanced Programming Concepts
La6bmq--lfI,Introduction of Business Ethics,"Mrs. Priyanka A. Bansode
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izbh0ZUXr1Q_AmZbv87h2PI,Business Ethics
NxXskSvFJwU,Importance of Business Ethics,"Mrs. Priyanka A. Bansode
Assistant Professor
Electronics and Telecommunication, Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izbh0ZUXr1Q_AmZbv87h2PI,Business Ethics
zBpJ-_ZcMWw,Globalization: A key context of Business Ethics,"Mrs. Priyanka A. Bansode 
Assistant Professor 
Electronics and Telecommunication, Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izbh0ZUXr1Q_AmZbv87h2PI,Business Ethics
MkShpyDKpMk,Sustainability: A key goal for Business Ethics,"Mrs. Priyanka A. Bansode 

Assistant Professor 
Electronics and Telecommunication, Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izbh0ZUXr1Q_AmZbv87h2PI,Business Ethics
D6oNypNEwJ8,Ethical Theories of Business Ethics,"Mrs. Priyanka A. Bansode 
Assistant Professor 
Electronics and Telecommunication, Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izbh0ZUXr1Q_AmZbv87h2PI,Business Ethics
g6GrwXxNdHo,Introduction and History of OR,"Dr.K.G.Valse
Associate Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izIdFO3pXzx3bhW3_15bOZP,Industrial Engineering and Operations Research
KFBi2Q912bM,Methodology in Operations Research,"Dr.K.G.Valse
Associate Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izIdFO3pXzx3bhW3_15bOZP,Industrial Engineering and Operations Research
AATTpsndC04,OR models and their applications,"Dr.K.G.Valse
Associate Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izIdFO3pXzx3bhW3_15bOZP,Industrial Engineering and Operations Research
wHXFcReS0IY,Introduction to LPP,"Dr.K.G.Valse
Associate Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izIdFO3pXzx3bhW3_15bOZP,Industrial Engineering and Operations Research
vhaGFRsEK2c,Formulation of LPP,"Dr.K.G.Valse
Associate Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izIdFO3pXzx3bhW3_15bOZP,Industrial Engineering and Operations Research
BcCkOjdi16Y,contrast streching gray level slicing and bit plane slicing,"Sudhakar R Barbade
Assistant Professor,Department of Electronics and Telecommunications Engineering
Walchand Institute of Technology,Solapur",PLM-jfaoaU5iy6iOUO6JdHj3v5QuIpD8_Y,Image and Video processing
y6pDbOW5iws,Image sharpening using spatial filtering part I,"Sudhakar R Barbade
Assistant Professor,Department of Electronics and Telecommunications Engineering
Walchand Institute of Technology,Solapur",PLM-jfaoaU5iy6iOUO6JdHj3v5QuIpD8_Y,Image and Video processing
afMxCllruOY,Image sharpening using spatial filtering part II,"Sudhakar R Barbade
Assistant Professor,Department of Electronics and Telecommunications Engineering
Walchand Institute of Technology,Solapur",PLM-jfaoaU5iy6iOUO6JdHj3v5QuIpD8_Y,Image and Video processing
ZoqEEekO160,Image enhancement in frequency domain Part I,"Sudhakar R Barbade
Assistant Professor,Department of Electronics and Telecommunications Engineering
Walchand Institute of Technology,Solapur",PLM-jfaoaU5iy6iOUO6JdHj3v5QuIpD8_Y,Image and Video processing
UkpEIoXJIZk,Image enhancement in frequency domain Part II,"Sudhakar R Barbade
Assistant Professor,Department of Electronics and Telecommunications Engineering
Walchand Institute of Technology,Solapur",PLM-jfaoaU5iy6iOUO6JdHj3v5QuIpD8_Y,Image and Video processing
KeVuJJOk4gY,Water Resources of India,"Dr. Satishkumar S. Kashid
Professor in Civil Engineering
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5izefNJPIfe8sGzWvmA_kyB0,Hydrology and Water Resources Engineering
vcMNDhER60U,Introduction to Indian Monsoon Rainfall,"Dr. Satishkumar S. Kashid
Professor in Civil Engineering
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5izefNJPIfe8sGzWvmA_kyB0,Hydrology and Water Resources Engineering
Samn_xV6Lzo,Interbasin Transfer of Water for National Development of India Part I,"Dr. Satishkumar S. Kashid
Professor in Civil Engineering
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5izefNJPIfe8sGzWvmA_kyB0,Hydrology and Water Resources Engineering
f43OHqwJJNk,Inter basin Transfer of Water for  National Development of India- Part-II:  NWDA’s Perspective Plan,"Dr. Satishkumar S. Kashid
Professor in Civil Engineering
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5izefNJPIfe8sGzWvmA_kyB0,Hydrology and Water Resources Engineering
3xP6Uga4Lgc,River Basins and Dams of India,"River Basins of India, Dams of India, Water Resources Potential of India, India Water Resources, Rivers of India, Indian Rivers,",PLM-jfaoaU5izefNJPIfe8sGzWvmA_kyB0,Hydrology and Water Resources Engineering
8OQ0xp968TI,Darcy Weisbach Equation for head loss in pipes,"Dr. Siddheshwar B. Tuljapure 
 (sbtuljapure@witsolapur.org) 
Associate Professor, Dept. of Mechanical Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iz_T9i2knPru-xnuVq4zXL0,Fluid Mechanics & Fluid Machines
rsBJRlXODLY,Minor losses in pipes,"Dr. Siddheshwar B. Tuljapure 
 (sbtuljapure@witsolapur.org) 
Associate Professor, Dept. of Mechanical Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iz_T9i2knPru-xnuVq4zXL0,Fluid Mechanics & Fluid Machines
uzn6D-9Bt60,Syphon,"Dr. Siddheshwar B. Tuljapure 
 (sbtuljapure@witsolapur.org) 
Associate Professor, Dept. of Mechanical Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iz_T9i2knPru-xnuVq4zXL0,Fluid Mechanics & Fluid Machines
RvvdOsBrSNo,Efficiency of Power transmission through pipes,"Dr. Siddheshwar B. Tuljapure 
 (sbtuljapure@witsolapur.org) 
Associate Professor, Dept. of Mechanical Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iz_T9i2knPru-xnuVq4zXL0,Fluid Mechanics & Fluid Machines
mSQ48JcUhAM,Hydraulic Gradient Line & Total Energy Line,"Dr. Siddheshwar B. Tuljapure 
 (sbtuljapure@witsolapur.org) 
Associate Professor, Dept. of Mechanical Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iz_T9i2knPru-xnuVq4zXL0,Fluid Mechanics & Fluid Machines
U3DWggUiutM,Machine Learning and its Power,"Dr.L M R J Lobo
Associate Professor ,
Information Technology 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyAfZGazljhiVIv0vIhblpK,Machine Learning
_BaExkf5vsE,Role of Statistics and Data mining with Machine Learning,"Dr.L M R J Lobo
Associate Professor ,
Information Technology 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyAfZGazljhiVIv0vIhblpK,Machine Learning
8NIWQ6NFoFw,Methods to Apply Machine Learning,"Dr.L M R J Lobo
Associate Professor ,
Information Technology 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyAfZGazljhiVIv0vIhblpK,Machine Learning
XntvFR5XhfU,Approaches to Machine Learning,"Dr.L M R J Lobo
Associate Professor ,
Information Technology 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyAfZGazljhiVIv0vIhblpK,Machine Learning
b-xdyf0KcNU,The Machine Learning Cycle,"Dr.L M R J Lobo
Associate Professor ,
Information Technology 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyAfZGazljhiVIv0vIhblpK,Machine Learning
4stfpeRKwg8,Introduction to Mechatronics,"Ms. Milka James Jagale 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iw5OV3EYz1wbrFI-QKEpOKk,Mechatronic Systems
cAav4HHR2lU,Mechatronic Systems,"Ms.Milka James Jagale 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iw5OV3EYz1wbrFI-QKEpOKk,Mechatronic Systems
YBUU4y72mDA,Sensors - I,"Ms.Milka James Jagale 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iw5OV3EYz1wbrFI-QKEpOKk,Mechatronic Systems
z-7Y4paGqms,Sensors - II,"Ms.Milka James Jagale 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iw5OV3EYz1wbrFI-QKEpOKk,Mechatronic Systems
tUTZnCV3xMo,Actuators,"Ms.Milka James Jagale 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iw5OV3EYz1wbrFI-QKEpOKk,Mechatronic Systems
Nh91UGBIBiU,Introduction to Infrastructure,"S.K.Kulkarni, 
Assistant Professor, 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixrX19fV8jGZWT2a8OU1M53,Infrastructural Engg.
jUx_csHRPaQ,Transportation Sector,"S.K.Kulkarni, 
Assistant Professor, 
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5ixrX19fV8jGZWT2a8OU1M53,Infrastructural Engg.
G-whhIHe5Ss,Privatization of Infrastructure,"S.K.Kulkarni, 
Assistant Professor,
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5ixrX19fV8jGZWT2a8OU1M53,Infrastructural Engg.
PFsPR8L8A_c,Power Sector of Infrastructure,"S.K.Kulkarni, 
Assistant Professor, 
Walchand Institute of Technology, 
Solapur",PLM-jfaoaU5ixrX19fV8jGZWT2a8OU1M53,Infrastructural Engg.
zAu0WWdLZEc,Special Economic Zone,"S.K.Kulkarni,
 Assistant Professor, 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixrX19fV8jGZWT2a8OU1M53,Infrastructural Engg.
KW9VbZIO0bw,Watt governor,"Mr. Akshaykuamr N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iwAd451V9Cn3XS_WBejm3kV,Kinematics & Theory of Machines
2jPftNkY-ec,Brake Part-I (Theory – Single Block or shoe Brake),"Mr. Sachin Subhash Rathod
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iwAd451V9Cn3XS_WBejm3kV,Kinematics & Theory of Machines
MoDyc2gPzoc,Brake Part-II (Theory – Single Block or shoe Brake),"Mr. Sachin Subhash Rathod
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iwAd451V9Cn3XS_WBejm3kV,Kinematics & Theory of Machines
hO4pnR--AZY,Porter Governor,"Mr. Akshaykumar N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iwAd451V9Cn3XS_WBejm3kV,Kinematics & Theory of Machines
UZAfc5t0ZeU,Hartnell Governor,"Mr. Akshaykumar N. Surde
 Assistant Professor
 Mechanical Engineering Department 
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iwAd451V9Cn3XS_WBejm3kV,Kinematics & Theory of Machines
IIrpRSzlUSo,Cycle Time of Earth Moving Equipments,"Mr. Shashikant Buvasaheb Gosavi
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iwPDS9scMnKZDbgljloTHyJ,Construction Practices and Town Planning
oNsgbxskLq4,Production Rate of Earthmoving Equipments,"Mr. Shashikant Buvasaheb Gosavi
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iwPDS9scMnKZDbgljloTHyJ,Construction Practices and Town Planning
MdIY9Vixysw,Operating Efficiencies of Dragline,"Mr. Shashikant Buvasaheb Gosavi
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iwPDS9scMnKZDbgljloTHyJ,Construction Practices and Town Planning
