title,videoIDS,video_description,publishedDate
1 SYSTEM VULNERABILITY AND ABUSE I,_Gur9GnRnXg,"Mr.D.P.Pandit,Assistant Professor,Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-05-05T05:52:54Z
Design of Tube Settlers,sz_rolaLlrY,"Mr. Mayur A. Ubale,
Assistant Professor,
Civil Engineering Department,
Walchand Institute of Technology,
Solapur.",2021-05-04T09:49:16Z
Design of rapid sand filter   part 2,ZF8PEXCHHfg,"Mr. Mayur A. Ubale,
Assistant Professor,
Civil Engineering Department,
Walchand Institute of Technology,
Solapur.",2021-05-04T09:39:38Z
Design of Rapid sand Filter- Part 1,mfnw8FuOcGc,"Mr. Mayur A. Ubale,
Assistant Professor,
Civil Engineering Department,
Walchand Institute of Technology,
Solapur.",2021-05-04T09:33:03Z
Analysis of water pipe networks by Hardy Cross method,5uS2PyFn-Bw,"Mr. Mayur A. Ubale,
Assistant Professor,
Civil Engineering Department,
Walchand Institute of Technology,
Solapur.",2021-05-04T09:24:18Z
Design of circular water tank with rigid base Numerical Example,lrS8b2cCE8Q,"Ms. C.G. Konapure
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-05-04T09:20:22Z
Design of circular water tank with flexible base Numerical Example,366kPDT1ZO8,"Ms. C.G. Konapure
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-05-04T09:17:13Z
Design approach for circular water tank,25p3I1DgLtk,"Ms. C.G. Konapure
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-05-04T09:14:55Z
Design approach for rectangular water tank,UhsdYGOYCVY,"Ms. C.G. Konapure
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-05-04T09:12:13Z
Design of water tank-IS code provisions,OxYDVolqOos,"Ms. C.G. Konapure
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-05-04T09:09:49Z
Impact of Infrastructure on development of Nation,o3UmC-Pam9U,"Mr. S.K.Kulkarni
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-05-04T09:01:47Z
Infrastructure Planning & Management,eqR2bTHLjNI,"Mr. S.K.Kulkarni
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-05-04T08:55:53Z
Risks in Infrastructure projects,8k73sgHxgkE,"Mr. S. K. Kulkarni
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-05-04T08:48:22Z
Introduction to Wireless Communication System,IT3Zcm3P5eQ,"""          Mr. K. R, Biradar
         Assistant Professor
Walchand Institute of Technology Solapur""",2021-05-03T09:58:46Z
Z   Transform Part 1,PL7a2_s3LV8,"Mr. S. N. Chamatagoudar Assistant Professor Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-05-03T09:54:17Z
Z   Transform Part   2,YFcacBrPs2o,"Mr. S. N. Chamatagoudar Assistant Professor Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-05-03T09:49:26Z
Properties of ROC part 2,LguY1mBRh_o,"Mr. S. N. Chamatagoudar Assistant Professor Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-05-03T09:43:17Z
Properties of ROC part 1,Gv1y3ziwco4,"Mr. S. N. Chamatagoudar Assistant Professor Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-05-03T09:39:36Z
Properties of ROC Part   3,Nl8mjw7hLFw,"Mr. S. N. Chamatagoudar Assistant Professor Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-05-03T09:33:29Z
Free Space Propagation Model,g6bGXF7eEdY,"""          Mr. K. R, Biradar
         Assistant Professor
Walchand Institute of Technology Solapur""",2021-05-03T09:23:15Z
Basics of Cellular System,GwKyhTl4Wxw,"""          Mr. K. R, Biradar
         Assistant Professor
Walchand Institute of Technology Solapur""",2021-05-03T09:15:28Z
Basic Propagation Mechanisms,wuq8nhFh9-c,"Mr. K. R, Biradar
  Assistant Professor
Walchand Institute of Technology Solapur",2021-05-03T09:08:31Z
Simulation of V-I characteristics of JFET,Rvm2zlQuNuI,"Mr.N.V.Kale,Assistant Professor, Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-05-03T09:00:03Z
Simulation of Inverting Amplifier & Noninverting Amplifier,t28nTqI9g1Q,"Mr.N.V.Kale,Assistant Professor, Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-05-03T08:52:05Z
Simulation of Op-Amp Integrator & Op-Amp Differentiator,CMXxGCAm84g,"Mr.N.V.Kale,Assistant Professor, Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-05-03T08:43:37Z
Simulation of  Monostable Multivibrator using IC 555,m-dEPNQMx9Y,"Mr.N.V.Kale,Assistant Professor, Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-05-03T08:35:19Z
"Simulation of Clipper, Clamper Circuit.",wPp8t_V-Ukg,"Mr.N.V.Kale,Assistant Professor, Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-05-03T08:24:04Z
Reverse CDMA Channel,MPnNEun_oEk,"""Dr. R.R.Dube
 Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur""",2021-05-03T07:55:15Z
Mobility and Radio Resourse Managment in IS 95,xVR4a-sbdPg,"""Dr. R.R.Dube
 Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur""",2021-05-03T07:47:20Z
Forward CDMA Channel,05SAbRoBhi0,"""Dr. R.R.Dube
 Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur""",2021-05-03T07:41:22Z
Frequency and Channel Specification of IS-95,FR7svE1WbZg,"""Dr. R.R.Dube
 Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur""",2021-05-03T07:26:34Z
Hypotheses Testing,EdsbjrNKeKc,"Dr. R.V. Argiddi,Professor, Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-05-01T09:39:57Z
Measures of Central Tendency Part II,TA6o3sKm97A,"Dr. R.V. Argiddi,Professor, Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-05-01T09:27:30Z
Scales used for Engineering drawing,3n-JpTvlRe8,"Ms. Supriya P. Pasnur
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-04-30T09:29:42Z
Introduction to rain water harvesting,OyNFtARC2yA,"Ms. Supriya P. Pasnur
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-04-30T09:21:08Z
Parking area Calculation,IgSXmyFygUU,"Ms. Supriya P. Pasnur
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-04-30T09:12:30Z
Parking space requirement for Passenger Vehicles,d0a0jwJO3wc,"Ms. Supriya P. Pasnur
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-04-30T09:05:23Z
Types of Parking,uUSBOaQyny8,"Ms. Supriya P. Pasnur
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-04-30T08:57:36Z
Project Life Cycle,U871AFsGa78,"Mr. S. K. Kulkarni
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-04-30T08:49:37Z
Public private Partnership,QjzOfDzi4B4,"Mr. S.K.Kulkarni
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",2021-04-30T08:42:01Z
Passive Optical Network,JhWTD7J1DgQ,"Mr. Y. S. Phand Assistant Professor Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-04-29T10:14:03Z
Optical Networks,X2Jxuh9-wv0,"Mr. Y. S. Phand Assistant Professor Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-04-29T10:13:08Z
Wavelength Divison Multiplexing Components,NBZ6sROYMEs,"Mr. Y. S. Phand Assistant Professor Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-04-29T10:12:20Z
Wavelength Divison Multiplexing,a8UrH6NWBaU,"Mr. Y. S. Phand Assistant Professor Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-04-29T10:10:54Z
VHDL Module for Traffic Light Controller using State Machine,a1Q_X8KTAlI,"""This video explains VHDL Module for Traffic Light Controller using State Machine


Dr. Ms. Asha V. Thalange
Associate Professor, 
Electronics and Telecommunication Engineering,
Walchand Institute of Technology, Solapur""",2021-04-29T09:57:36Z
Minimum Shift Keying (MSK) Signal Transmitter and Receiver,ePp2bZDM-vE,"""This video explain Minimum Shift Keying (MSK) Signal Transmitter and Receiver


Dr. Ms. Asha V. Thalange
Associate Professor, 
Electronics and Telecommunication Engineering,
Walchand Institute of Technology, Solapur""",2021-04-29T09:56:14Z
Minimum Shift Keying (MSK) Signaling Scheme,D2TCR3VK1AA,,2021-04-29T09:54:23Z
M-ary Wideband Frequency Shift Keying (FSK) Scheme,G93gL9_-10g,"""This video explains M-ary Wideband Frequency Shift Keying Scheme.


Dr. Ms. Asha V. Thalange
Associate Professor, 
Electronics and Telecommunication Engineering,
Walchand Institute of Technology, Solapur""",2021-04-29T09:53:15Z
Three Phase Circuit & Problem Solving,Brqufbw9oyM,"""Mr. A. S. Suryawanshi
  Assistant Professor
 Walchand Institute of Technology Solapur""",2021-04-29T09:45:54Z
Hybrid Inheritance - Diamond Problem,whJQ4qg7xMw,"Mr. Sandesh S. Pare
Assistant Professor,
Dept of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.",2021-04-29T09:45:35Z
Binary Arithmetic Using 2’s Complement,PPEgQBXSUfs,"""Mr. A. S. Suryawanshi
  Assistant Professor
 Walchand Institute of Technology Solapur""",2021-04-29T09:44:18Z
Binary Arithmetic Using 1’s Complement,BMo7dQiZxuc,"""Mr. A. S. Suryawanshi
  Assistant Professor
 Walchand Institute of Technology Solapur""",2021-04-29T09:42:39Z
Multiple Inheritance,te4pAMJVwzA,"Mr. Sandesh S. Pare
Assistant Professor,
Dept of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.",2021-04-29T09:43:28Z
"""Octal, Hexadecimal & BCD  Number System""",Akxm1ngydFw,"""Mr. A. S. Suryawanshi
  Assistant Professor
 Walchand Institute of Technology Solapur""",2021-04-29T09:40:16Z
Hierarchical Inheritance,1Z-VV6wqINY,"Mr. Sandesh S. Pare
Assistant Professor,
Dept of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.",2021-04-29T09:40:51Z
Decimal & Binary Number System,_kyz88tYeyg,"""Mr. A. S. Suryawanshi
  Assistant Professor
 Walchand Institute of Technology Solapur""",2021-04-29T09:37:50Z
Multi   Level Inheritance,Op2BS_f9GOQ,"Mr. Sandesh S. Pare
Assistant Professor,
Dept of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.",2021-04-29T09:38:08Z
Single Inheritance,p4ATSFcr7js,"Mr. Sandesh S. Pare
Assistant Professor,
Dept of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.",2021-04-29T09:33:40Z
Two Ray Propagation ModelDelta Path difference,dMKWFPFrncE,"Mr.P.Y.Kumbhar Assistant Professor Electronics and Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-04-29T09:05:08Z
Free Space Path Loss Model Friis Equation,y6RH-fMO6O4,"Mr.P.Y.Kumbhar Assistant Professor Electronics and Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-04-29T09:03:35Z
Two Ray Propgation ModelEtotal,uSdIlxv491U,"Mr.P.Y.Kumbhar Assistant Professor Electronics and Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-04-29T09:07:01Z
Masked Array module in Numpy,hh5En4eMJio,"Vinit Tribhuvan
Assistant Professor,
Dept of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.",2021-04-29T09:08:12Z
Free Space Path Loss Model,9XSmfFVdFmo,"Mr.P.Y.Kumbhar Assistant Professor Electronics and Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-04-29T09:01:31Z
Two Ray Propagation Model,mUK3Hkamg3c,"Mr.P.Y.Kumbhar Assistant Professor Electronics and Telecommunication Engineering Walchand Institute of Technology, Solapur",2021-04-29T08:55:50Z
Deleting a Specific Node from Singly Linked List,Iq5cgNFBQ8k,"Mr. F. R. Sayyed,
Assistant Professor,
Computer Science and Engineering,
Walchand Institute of Technology, Solapur",2021-04-29T08:54:59Z
Deleting a Node from end of Singly Linked List,l_x7YPH0hhc,"Mr. F. R. Sayyed,
Assistant Professor,
Computer Science and Engineering,
Walchand Institute of Technology, Solapu",2021-04-29T08:45:25Z
Popups Xamerin forms,VCT-9NXW6qE,"Mr. S. M. Mane
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2021-04-29T08:14:40Z
Frame Layout,IZgrc8HGwAU,"Mr. S. M. Mane
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2021-04-29T08:10:30Z
Introduction to Xamerin forms,Otetj5dgios,"Mr. S. M. Mane
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2021-04-29T08:07:57Z
Ambiguity Inheritance,dhz2M5toAoQ,"Mr. R.R. Wagdarikar,Assistant Professor,Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-04-29T07:52:39Z
Multiple Inheritance,_QbnBBxJlb0,"Mr. R.R. Wagdarikar,Assistant Professor,Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-04-29T07:41:52Z
Multilevel Inheritance,CG98kfZvNFE,"MrR.R. Wagdarikar,Assistant Professor,Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-04-29T07:29:56Z
Single Inheritance,h1MN1-5jd5A,"MrR.R. Wagdarikar,Assistant Professor,Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-04-29T07:21:27Z
INheritance,Kmwfx2-EImQ,"Mr. R.R. Wagdarikar,Assistant Professor,Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-04-29T07:11:38Z
Demonstrating Stacking in Weka,P4uaMbWPYN0,Faculty: Mr. P.S.R. Patnaik,2021-04-29T06:57:22Z
Demonstrating Boosting in Weka,CqEkVnpOJ1A,Faculty: Mr. P.S.R. Patnaik,2021-04-29T06:48:02Z
Demonstrating Bagging in Weka,4B8V5IMT6GU,Faculty: Mr. P.S.R. Patnaik,2021-04-29T06:42:29Z
"Bagging, Boosting, and Stacking in ML",yIBSMHFbdhU,Faculty: Mr. P.S.R. Patnaik,2021-04-29T06:31:25Z
K-Fold Cross Validation,o4HFhloQDOI,Faculty: Mr. P.S.R. Patnaik,2021-04-29T06:17:43Z
Measures of Central Tendency Part I,r7e1N76bYt8,"Dr. R.V. Argiddi,Professor, Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-04-28T10:39:48Z
Rules of Probability,2tiyk1gLKbY,"Dr. R.V. Argiddi,Professor, Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-04-28T10:31:38Z
Statistical Modeling,QEwo6Bu057U,"Dr. R.V. Argiddi,Professor, Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-04-28T10:23:16Z
Structure of an Agent Part   3,yrucWQQf1us,"""Mr. S. T. Patel
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur""",2021-04-28T08:37:26Z
Structure of An Agent Part 2,ik0Bpj0eK08,"""Mr. S. T. Patel
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur""",2021-04-28T08:29:25Z
Structure of An Agent Part 1,957rkRuGqeg,"""Mr. S. T. Patel
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur""",2021-04-28T08:23:04Z
Introduction to AI,6qJEY8Phwb0,"""Mr. S. T. Patel
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur""",2021-04-28T08:17:26Z
Mobility and Radio Resourse Managment in IS-95,52KoIaAXbAY,"""Dr. R.R.Dube
 Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur""",2021-04-28T08:11:42Z
Second Order High Pass Filter,a6nw-hOM1T8,"""          Mrs. V.S.Kulkarni
         Assistant Professor
Walchand Institute of Technology Solapur""",2021-04-28T08:03:52Z
Second Order High Pass Filter,v2hzfDcG0d0,"""          Mrs. V.S.Kulkarni
         Assistant Professor
Walchand Institute of Technology Solapur""",2021-04-28T07:59:53Z
Programs on Exception Handling,0NTcOCMQdAo,"""Ms. Supriya D. Survase 
Assistant Professor, Dept of Computer Science and Engineering
Walchand Institute of Technology, Solapur 
""",2021-04-28T07:55:38Z
Second Order Low Pass Filter,s30nNYAKeqA,"""          Mrs. V.S.Kulkarni
         Assistant Professor
Walchand Institute of Technology Solapur""",2021-04-28T07:50:20Z
Exception Handling-Invoked functions and Rethrowing an exception,pDHDcQWm_Ek,"""Ms. Supriya D. Survase 
Assistant Professor, Dept of Computer Science and Engineering
Walchand Institute of Technology, Solapur 
""",2021-04-28T07:45:21Z
First order High Pass Filter,JHp-BwoXWd0,"""          Mrs. V.S.Kulkarni
         Assistant Professor
Walchand Institute of Technology Solapur""",2021-04-28T07:42:08Z
Exception Handling-Catching Mechanism,46LfCCpLSmw,"""Ms. Supriya D. Survase 
Assistant Professor, Dept of Computer Science and Engineering
Walchand Institute of Technology, Solapur 
""",2021-04-28T07:35:33Z
First order Low Pass Filter,RW8EbC1BcgM,"""          Mrs. V.S.Kulkarni
         Assistant Professor
Walchand Institute of Technology Solapur""",2021-04-28T07:30:05Z
Exception Handling-Try Catch block,gKGrdq0M3AE,"""Ms. Supriya D. Survase 
Assistant Professor, Dept of Computer Science and Engineering
Walchand Institute of Technology, Solapur 
""",2021-04-28T07:26:43Z
Active Filter Basic,mMonZ1O-x8k,"""          Mrs. V.S.Kulkarni
         Assistant Professor
Walchand Institute of Technology Solapur""",2021-04-28T07:22:21Z
Exception Handling,yBIoZ7dkEd8,"""Ms. Supriya D. Survase 
Assistant Professor, Dept of Computer Science and Engineering
Walchand Institute of Technology, Solapur 
""",2021-04-28T07:18:29Z
The Memory Hierarchy,hdXA9M1uvno,"""Mr. S.S. Shakhapure,
Assistant Professor,
Computer Science and Engineering,
Walchand Institute of Technology, Solapur


""",2021-04-28T06:58:35Z
Accessing Data in Memory,2u1faieZZI0,"""Mr. S.S. Shakhapure,
Assistant Professor,
Computer Science and Engineering,
Walchand Institute of Technology, Solapur


""",2021-04-28T06:50:08Z
ARC Pseudo operations,R00cpO9YiEY,"""Mr. S.S. Shakhapure,
Assistant Professor,
Computer Science and Engineering,
Walchand Institute of Technology, Solapur


""",2021-04-28T06:39:23Z
ARC   A RISC Computer,P1JecNNg4iI,"""Mr. S.S. Shakhapure,
Assistant Professor,
Computer Science and Engineering,
Walchand Institute of Technology, Solapur


""",2021-04-28T06:30:53Z
Hardware Components of the Instruction Set Architecture,8u14eZIRXF8,"""Mr. S.S. Shakhapure,
Assistant Professor,
Computer Science and Engineering,
Walchand Institute of Technology, Solapur


""",2021-04-28T06:23:25Z
Productivity- II,9qCI5fw-MBM,"Mr.N.L.Yemul, Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",2021-04-28T06:25:19Z
Productivity- I,hAMCgB-EAzU,"Mr.N.L.Yemul, Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",2021-04-28T06:16:39Z
Introduction to Industrial Engineering- II,25r3a-ecbrU,"Mr.N.L.Yemul, Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur.",2021-04-28T06:10:53Z
Introduction to Industrial Engineering- I,1TtbaRAW2dc,"Mr.N.L.Yemul, Assistant Professor, Mechanical Engineering Department, Walchand Institute of Technology, Solapur",2021-04-28T06:02:48Z
Message Access Agent,7aboOEvqhdM,"Mrs. Kanchan A. Khedikar, Assistant Professor , Computer Science and Engineering , Walchand Institute of Technology , Solapur",2021-04-28T05:41:44Z
MTA Commands & Responses,MCqB8xwZD10,"Mrs. Kanchan A. Khedikar, Assistant Professor , Computer Science and Engineering , Walchand Institute of Technology , Solapur",2021-04-28T05:35:25Z
Message Transfer Agent,f6Gzr4YDmEE,"Mrs. Kanchan A. Khedikar, Assistant Professor , Computer Science and Engineering , Walchand Institute of Technology , Solapur",2021-04-28T05:29:50Z
Electronic Mail,chzCgHdr6G4,"Mrs. Kanchan A. Khedikar, Assistant Professor , Computer Science and Engineering , Walchand Institute of Technology , Solapur",2021-04-28T05:15:10Z
Business Processes and Information System,XZBGDj1MIlo,"Mr. M.A.Mahant,  
Assistant Professor, 
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T09:55:55Z
bitcoin VDO5,AYKp471g78g,"Ms Rashmi Dixit
Assistant Professor
Computer Science & Engineering
Walchand Institute of Technology, Solapur",2021-04-27T07:59:46Z
Blockchain VDO4,rtnDEYiXHmg,"Ms Rashmi Dixit
Assistant Professor,
Computer Science & Engineering,
Walchand Institute of Technology ,Solapur",2021-04-27T07:54:32Z
IC Voltage Regulators 78XX & 79XX,m2H7dnAhOHY,"Mr. S. V. Aursang
Assistant Professor
Walchand Institute of Technology Solapur""",2021-04-27T07:48:22Z
Event Handling in JavaScript,zEwmTGa8t4Q,"Mr.D.P.Gandhmal,
Assistant Professor,
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T07:47:45Z
Op-Amp Slew Rate & it's importance,tt66JQL21XA,"Mr. S. V. Aursang
Assistant Professor
Walchand Institute of Technology Solapur",2021-04-27T07:42:38Z
Validating EmailID input field using JavaScript,iUSYSLj9A_g,"Mr.D.P.Gandhmal,
Assistant Professor,
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T07:42:46Z
Password Validation using JavaScript,w9ZPyJO94BU,"Mr.D.P.Gandhmal,
Assistant Professor,
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T07:38:10Z
Op-amp High frequency Model,Ul6wHTGkbDc,"Mr. S. V. Aursang
Assistant Professor
Walchand Institute of Technology Solapur",2021-04-27T07:36:42Z
Introduction to JavaScript,ev0MegtWwC4,"Mr.D.P.Gandhmal,
Assistant Professor,
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T07:31:27Z
Internally & Externally Compensated Op-Amps,iUuF-nilpss,"Mr. S. V. Aursang
Assistant Professor
Walchand Institute of Technology Solapur",2021-04-27T07:30:41Z
Validating Empty Input Field using JavaScript,UDA-hwVoKuo,"Mr.D.P.Gandhmal,
Assistant Professor,
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T07:22:42Z
Op-Amp : Frequency Response &Compensating Networks,Nz8axRkmJzc,"Mr. S. V. Aursang
Assistant Professor
Walchand Institute of Technology Solapur",2021-04-27T07:22:39Z
PLC Ladder diagram Elevator control,FY2DGn19miY,"Mr. S.R.Barbade
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2021-04-27T07:13:27Z
PLC Ladder diagram Bottle filling plant,lwuQpVPbNVY,"""Mr. S.R.Barbade
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur""",2021-04-27T07:06:35Z
Reducing Branch costs with prediction,Lcpg9N_nMA8,"Mr.V.D.Chavan,
Assistant Professor,
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T07:04:21Z
PLC Ladder logic basics part II,T1Y6MqPt_b0,"Mr. S.R.Barbade
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2021-04-27T07:02:22Z
Overcoming data hazards with dynamic scheduling,SSerLgIrEEo,"Mr.V.D.Chavan,
Assistant Professor,
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T07:00:12Z
PLC Ladder logic basics Part I,b2Bv9blRMzs,"Mr. S.R.Barbade
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2021-04-27T06:58:44Z
PlC Architecture,kUBI0tEjJxU,"Mr. S.R.Barbade
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2021-04-27T06:53:22Z
Instruction Level Parallelism,pLWRAVUr4uI,"Mr.V.D.Chavan,
Assistant Professor,
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T06:53:07Z
Dynamic Scheduling,2AqcAFB0fJQ,"Mr.V.D.Chavan,
Assistant Professor,
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T06:43:15Z
Basic Compiler Techniques for exposing ILP,paCS6tuht5M,"Mr.V.D.Chavan,
Assistant Professor,
Computer Science and Engineering, 
Walchand Institute of Technology, Solapur",2021-04-27T06:36:22Z
Functions and Procedures  in VHDL,4QhgELHBIJo,"Mr. Prashant S Malge 
Assistant Professor,
Department of Electronics Engineering,
Walchand Institute of Technology, Solapur
Email id: psmalge1@gmail.com",2021-04-27T06:06:26Z
